手机号码	FXS端口	默认路由计划	高级路由计划	低级路由计划	绑定IP账号数量	来显方式	反极控制	业务密码	注册密码	号码业务	DID1	DID2	DID3	彩铃	用户类别（1-15）	FXS帐号	ip帐号	短号	号码闭塞(0-禁用,1-启用)	收号方式(0-DSP,1-SLIC)	呼叫频度
670299		高级路由计划	默认		0	0	0	.WF<	.WF<					0	1		670299		0	1	0
670300		高级路由计划	默认		0	0	0	7pO7	7pO7					0	1		670300		0	1	0
670301		高级路由计划	默认		0	0	0	4eI)1_;|na	4eI)1_;|na					0	1		670301		0	1	0
670302		高级路由计划	默认		0	0	0	He=~(S9{X	He=~(S9{X					0	1		670302		0	1	0
670303		高级路由计划	默认		0	0	0	!RjHRWlf	!RjHRWlf					0	1		670303		0	1	0
670304		高级路由计划	默认		0	0	0	6W*+	6W*+					0	1		670304		0	1	0
670305		高级路由计划	默认		0	0	0	b(yi{AAwS	b(yi{AAwS					0	1		670305		0	1	0
670306		高级路由计划	默认		0	0	0	c~w#	c~w#					0	1		670306		0	1	0
670307		高级路由计划	默认		0	0	0	MU][<vv~UL	MU][<vv~UL					0	1		670307		0	1	0
670308		高级路由计划	默认		0	0	0	en'"eNy	en'"eNy					0	1		670308		0	1	0
670309		高级路由计划	默认		0	0	0	4Ru(?	4Ru(?					0	1		670309		0	1	0
670310		高级路由计划	默认		0	0	0	c$0*Zr[T&IE8	c$0*Zr[T&IE8					0	1		670310		0	1	0
670311		高级路由计划	默认		0	0	0	8OQf.6iT;3	8OQf.6iT;3					0	1		670311		0	1	0
670312		高级路由计划	默认		0	0	0	w4+iM|jJ7	w4+iM|jJ7					0	1		670312		0	1	0
670313		高级路由计划	默认		0	0	0	+\RXP	+\RXP					0	1		670313		0	1	0
670314		高级路由计划	默认		0	0	0	UC:$T|2l*]5k	UC:$T|2l*]5k					0	1		670314		0	1	0
670315		高级路由计划	默认		0	0	0	3odI$pN	3odI$pN					0	1		670315		0	1	0
670316		高级路由计划	默认		0	0	0	qu.*h-HX`@]Q	qu.*h-HX`@]Q					0	1		670316		0	1	0
670317		高级路由计划	默认		0	0	0	eH;NRkhbd	eH;NRkhbd					0	1		670317		0	1	0
670318		高级路由计划	默认		0	0	0	E4_=g]~<	E4_=g]~<					0	1		670318		0	1	0
670319		高级路由计划	默认		0	0	0	9L*n&rI9,-p	9L*n&rI9,-p					0	1		670319		0	1	0
670320		高级路由计划	默认		0	0	0	|-V8*_3~@:	|-V8*_3~@:					0	1		670320		0	1	0
670321		高级路由计划	默认		0	0	0	fyA,3\p.	fyA,3\p.					0	1		670321		0	1	0
670322		高级路由计划	默认		0	0	0	|>zKlU	|>zKlU					0	1		670322		0	1	0
670323		高级路由计划	默认		0	0	0	_hpa*lE['<,m	_hpa*lE['<,m					0	1		670323		0	1	0
670324		高级路由计划	默认		0	0	0	?t:8YmieI3f8	?t:8YmieI3f8					0	1		670324		0	1	0
670325		高级路由计划	默认		0	0	0	!IV4%=-voEx	!IV4%=-voEx					0	1		670325		0	1	0
670326		高级路由计划	默认		0	0	0	=2(uWeb	=2(uWeb					0	1		670326		0	1	0
670327		高级路由计划	默认		0	0	0	Y9([kCM	Y9([kCM					0	1		670327		0	1	0
670328		高级路由计划	默认		0	0	0	'd\\xg[-	'd\\xg[-					0	1		670328		0	1	0
670329		高级路由计划	默认		0	0	0	]EkA,&;*aD	]EkA,&;*aD					0	1		670329		0	1	0
670330		高级路由计划	默认		0	0	0	SDQzCZ{	SDQzCZ{					0	1		670330		0	1	0
670331		高级路由计划	默认		0	0	0	Ka38U2NKn	Ka38U2NKn					0	1		670331		0	1	0
670332		高级路由计划	默认		0	0	0	AJhi	AJhi					0	1		670332		0	1	0
670333		高级路由计划	默认		0	0	0	!scA?[{RP	!scA?[{RP					0	1		670333		0	1	0
670334		高级路由计划	默认		0	0	0	ZUwU`[^/@y|	ZUwU`[^/@y|					0	1		670334		0	1	0
670335		高级路由计划	默认		0	0	0	44zj%la9>[S	44zj%la9>[S					0	1		670335		0	1	0
670336		高级路由计划	默认		0	0	0	R;|C	R;|C					0	1		670336		0	1	0
670337		高级路由计划	默认		0	0	0	WW17X	WW17X					0	1		670337		0	1	0
670338		高级路由计划	默认		0	0	0	60s;/E880	60s;/E880					0	1		670338		0	1	0
670339		高级路由计划	默认		0	0	0	KB&O{o1q$lk%	KB&O{o1q$lk%					0	1		670339		0	1	0
670340		高级路由计划	默认		0	0	0	e7}NrMD-[s	e7}NrMD-[s					0	1		670340		0	1	0
670341		高级路由计划	默认		0	0	0	Ilzr1^gZt	Ilzr1^gZt					0	1		670341		0	1	0
670342		高级路由计划	默认		0	0	0	jVM9:;	jVM9:;					0	1		670342		0	1	0
670343		高级路由计划	默认		0	0	0	rR`Oi	rR`Oi					0	1		670343		0	1	0
670344		高级路由计划	默认		0	0	0	V2;K`=S`'n.	V2;K`=S`'n.					0	1		670344		0	1	0
670345		高级路由计划	默认		0	0	0	zfTVe	zfTVe					0	1		670345		0	1	0
670346		高级路由计划	默认		0	0	0	Fvyi	Fvyi					0	1		670346		0	1	0
670347		高级路由计划	默认		0	0	0	/hy<&	/hy<&					0	1		670347		0	1	0
670348		高级路由计划	默认		0	0	0	SYYqctKmS	SYYqctKmS					0	1		670348		0	1	0
670349		高级路由计划	默认		0	0	0	I(<Nuxw	I(<Nuxw					0	1		670349		0	1	0
670350		高级路由计划	默认		0	0	0	Ws]5_l	Ws]5_l					0	1		670350		0	1	0
670351		高级路由计划	默认		0	0	0	r%WZ:LqHELm:	r%WZ:LqHELm:					0	1		670351		0	1	0
670352		高级路由计划	默认		0	0	0	Adh7?	Adh7?					0	1		670352		0	1	0
670353		高级路由计划	默认		0	0	0	3G+j#B3	3G+j#B3					0	1		670353		0	1	0
670354		高级路由计划	默认		0	0	0	`wCJ{R	`wCJ{R					0	1		670354		0	1	0
670355		高级路由计划	默认		0	0	0	?8?Og3	?8?Og3					0	1		670355		0	1	0
670356		高级路由计划	默认		0	0	0	MMrs<Ui	MMrs<Ui					0	1		670356		0	1	0
670357		高级路由计划	默认		0	0	0	*Rkb	*Rkb					0	1		670357		0	1	0
670358		高级路由计划	默认		0	0	0	[q1R\zPE?}	[q1R\zPE?}					0	1		670358		0	1	0
670359		高级路由计划	默认		0	0	0	IDd!	IDd!					0	1		670359		0	1	0
670360		高级路由计划	默认		0	0	0	s2Yi}<V04yfr	s2Yi}<V04yfr					0	1		670360		0	1	0
670361		高级路由计划	默认		0	0	0	HIGf46VZ#p	HIGf46VZ#p					0	1		670361		0	1	0
670362		高级路由计划	默认		0	0	0	~;#$K@s_S7s	~;#$K@s_S7s					0	1		670362		0	1	0
670363		高级路由计划	默认		0	0	0	EN}K8x/	EN}K8x/					0	1		670363		0	1	0
670364		高级路由计划	默认		0	0	0	-rV+WleYyQ)i	-rV+WleYyQ)i					0	1		670364		0	1	0
670365		高级路由计划	默认		0	0	0	!CJ\	!CJ\					0	1		670365		0	1	0
670366		高级路由计划	默认		0	0	0	#PdY	#PdY					0	1		670366		0	1	0
670367		高级路由计划	默认		0	0	0	F[={.TL6t(	F[={.TL6t(					0	1		670367		0	1	0
670368		高级路由计划	默认		0	0	0	Q~Z+}f0hma_	Q~Z+}f0hma_					0	1		670368		0	1	0
670369		高级路由计划	默认		0	0	0	lzG3vBX	lzG3vBX					0	1		670369		0	1	0
670370		高级路由计划	默认		0	0	0	bcMn3R	bcMn3R					0	1		670370		0	1	0
670371		高级路由计划	默认		0	0	0	o?"C	o?"C					0	1		670371		0	1	0
670372		高级路由计划	默认		0	0	0	"ZdR:`.o	"ZdR:`.o					0	1		670372		0	1	0
670373		高级路由计划	默认		0	0	0	9panBtf^R	9panBtf^R					0	1		670373		0	1	0
